decode-dimms	maker-basic
decode-edid	maker-basic
decode-vaio	maker-basic
decode_aprs	amateur-radio
decode_tm6000	v4l-utils
decryptdir	tcl-basic
defrag.f2fs	storage-utils
dehtmldiff	dev-utils
dejagnu	os-core-dev
delpart	os-core
deltainfoxml2solv	devpkg-libsolv
depdiagram_generate_all	kapidox
depmod	sysadmin-basic
depythontex	texlive
derb	sddm
designer	devpkg-qttools
desktop-file-edit	desktop
desktop-file-install	desktop
desktop-file-validate	desktop
desktoptojson	kde-frameworks5
determine_maximum_mpps.sh	dev-utils
detex	texlive
devhelp	devhelp
devlink	iproute2
devnag	texlive
deweb	texlive
df	os-core
dfc	sysadmin-basic
dfu-prefix	dfu-util
dfu-suffix	dfu-util
dfu-util	dfu-util
dhcp_lease_time	dhcp-server
dhcp_release	dhcp-server
